,iid_target,iid_neighbors
1001,17814,41475
1002,17814,41474
1003,17814,13110
1004,17814,51341
1005,17814,52989
1006,17814,17819
1007,38,52173
1008,38,32382
1009,3717,1195
1010,3717,2365
1011,3717,14683
1012,3710,3335
1013,3713,20133
1014,312,3382
1015,312,988
1016,3720,35085
1017,3716,2241
1018,3700,3520
1019,3700,13147
1020,3700,39871
1021,3711,5071
1022,3711,33995
1023,3730,3847
1024,3696,7123
1025,840,1414
1026,3734,598
1027,3734,21346
1028,3735,5878
1029,608,34908
1030,2367,1122
1031,2367,14682
1032,2367,51297
1033,3727,24016
1034,3698,9060
1035,3698,39349
1036,3698,7952
1037,3698,8255
1038,3698,8254
1039,3698,17897
1040,3698,19781
1041,3698,353
1042,3698,24450
1043,3698,27978
1044,3698,12999
1045,3698,971
1046,3698,34492
1047,1121,1410
1048,1121,8942
1049,3719,9886
1050,3743,3281
1051,3697,46349
1052,2138,303
1053,2138,3449
1054,3705,4340
1055,3705,4341
1056,3705,3509
1057,3705,23755
1058,3705,29123
1059,3705,14146
1060,3705,46824
1061,3705,48282
1062,433,51391
1063,3714,9632
1064,3714,19639
1065,3726,46361
1066,3712,7602
1067,3712,29828
1068,3704,3256
1069,3704,8032
1070,3739,16048
1071,823,907
1072,598,21346
1073,28591,8720
1074,2376,40825
1075,5390,12762
1076,5390,22091
1077,5390,6285
1078,5390,22090
1079,5390,22089
1080,5390,28993
1081,5390,30944
1082,5390,12777
1083,28328,29761
1084,6536,45595
1085,29704,10322
1086,381,7130
1087,3369,7432
1088,2451,2462
1089,3760,7637
1090,3745,7052
1091,3745,30383
1092,3750,9580
1093,3750,50026
1094,886,2216
1095,886,2220
1096,886,7889
1097,886,11100
1098,886,11287
1099,3759,9013
1100,8625,43443
1101,15975,2972
1102,15975,16060
1103,15975,51256
1104,50312,14202
1105,7097,22390
1106,7097,7096
1107,7097,5937
1108,7097,328
1109,7097,330
1110,7097,24525
1111,7097,7098
1112,7097,329
1113,900,973
1114,900,6675
1115,900,32721
1116,43412,2418
1117,43412,30449
1118,15486,6459
1119,5107,19569
1120,7334,23739
1121,44227,4578
1122,44227,4577
1123,44227,41688
1124,4578,4577
1125,4578,41688
1126,4577,41688
1127,5061,3514
1128,5061,5011
1129,5061,11845
1130,5061,18123
1131,5061,22277
1132,5061,23564
1133,30557,52689
1134,30557,51075
1135,30557,52834
1136,2434,18892
1137,11670,6943
1138,11670,11671
1139,27208,7214
1140,27208,7582
1141,27208,52675
1142,18351,13592
1143,18351,18663
1144,18351,26102
1145,18351,27336
1146,5656,5646
1147,5656,7408
1148,5656,5648
1149,5656,8764
1150,5656,5649
1151,5656,5653
1152,5656,5654
1153,5656,5655
1154,5656,5652
1155,5656,5647
1156,5656,13685
1157,5689,32344
1158,11129,28279
1159,11129,30231
1160,2077,13756
1161,2077,4243
1162,2077,4242
1163,2077,13757
1164,2077,25175
1165,2077,25177
1166,2077,49308
1167,2077,28633
1168,2077,28638
1169,2077,35283
1170,2077,37872
1171,2077,49133
1172,2077,39402
1173,2077,51454
1174,2077,43944
1175,2077,50614
1176,2077,51984
1177,2077,51452
1178,2077,51451
1179,2077,52703
1180,2077,49949
1181,22021,30521
1182,22021,4162
1183,22021,4326
1184,22021,4518
1185,22021,7656
1186,22021,16336
1187,22021,16361
1188,22021,29161
1189,22021,30516
1190,10337,8249
1191,10337,14489
1192,32061,34348
1193,896,3709
